,budget,genres,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,collection_id,collection_name,release_year,returncon
46,33000000,"Crime, Mystery, Thriller",807,18.45743,1995-09-22,327311859,127.0,Se7en,8.1,5915,,,1995,9.918541181818181
47,55000000,"Adventure, Animation, Drama, Family",10530,13.280069,1995-06-14,346079773,81.0,Pocahontas,6.7,1509,136214.0,Pocahontas Collection,1995,6.292359509090909
48,0,"Drama, Romance",8391,3.302524,1995-05-05,0,96.0,When Night Is Falling,5.9,10,,,1995,0.0
49,6000000,"Drama, Crime, Thriller",629,16.302466,1995-07-19,23341568,106.0,The Usual Suspects,8.1,3334,,,1995,3.890261333333333
50,0,"Action, Thriller, Drama",117164,0.595949,1994-11-22,0,93.0,Guardian Angel,6.3,3,,,1994,0.0
51,15000000,"Comedy, Romance",11448,15.899134,1995-09-13,6700000,95.0,Mighty Aphrodite,6.7,145,,,1995,0.44666666666666666
52,0,"Drama, Foreign",49133,1.361286,1994-01-01,0,116.0,Lamerica,7.7,11,,,1994,0.0
53,0,"Action, Adventure, Comedy, Family",26441,5.982764,1995-09-29,0,100.0,The Big Green,5.2,41,,,1995,0.0
54,0,Drama,97406,4.093443,1995-05-19,0,115.0,Georgia,6.1,15,,,1995,0.0
55,0,,124057,0.307075,1997-07-08,0,89.0,Kids of the Round Table,3.0,1,,,1997,0.0
56,0,"Comedy, Drama, Romance",9089,8.416802,1995-11-02,17519169,103.0,Home for the Holidays,6.3,39,,,1995,0.0
57,0,"Comedy, Drama, Romance",11010,10.168437,1994-09-22,0,108.0,The Postman,7.6,181,,,1994,0.0
58,0,"Thriller, Drama, Mystery",99040,0.120789,1995-09-29,0,100.0,The Confessional,6.5,2,,,1995,0.0
59,45000000,"Adventure, Family, Fantasy",11359,10.673296,1995-07-14,0,96.0,The Indian in the Cupboard,5.9,136,,,1995,0.0
60,20000000,"Drama, Thriller",17182,4.733526,1996-01-12,0,101.0,Eye for an Eye,5.8,65,,,1996,0.0
61,0,"Music, Drama, Family",2054,7.137117,1995-12-29,106269971,137.0,Mr. Holland's Opus,6.9,115,,,1995,0.0
62,0,Comedy,10607,11.700115,1996-01-12,0,89.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,,,1996,0.0
63,0,"Comedy, Romance",19760,2.174487,1996-01-12,0,96.0,Two If by Sea,4.5,14,,,1996,0.0
64,15000000,Comedy,9536,6.387469,1996-01-12,0,88.0,Bio-Dome,4.4,110,,,1996,0.0
65,0,"Action, Science Fiction",11525,2.49535,1996-01-12,2409225,92.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32,124935.0,The Lawnmower Man Collection,1996,0.0
66,0,"Drama, Family",40628,4.046208,1995-10-22,0,85.0,Two Bits,5.4,11,,,1995,0.0
67,0,"Comedy, Romance",4482,2.518051,1995-02-08,0,95.0,French Twist,6.0,43,,,1995,0.0
68,3500000,Comedy,10634,14.56965,1995-04-26,28215918,91.0,Friday,7.0,513,43563.0,Friday Collection,1995,8.061690857142857
69,19000000,"Horror, Action, Thriller, Crime",755,15.339153,1996-01-19,25836616,108.0,From Dusk Till Dawn,6.9,1644,10924.0,From Dusk Till Dawn Collection,1996,1.3598218947368421
70,50000000,"Action, Thriller, Romance",11859,5.912223,1995-11-03,11534477,91.0,Fair Game,4.1,54,,,1995,0.23068954
71,0,"Comedy, Drama, Romance",28387,3.367276,1995-10-06,718490,96.0,Kicking and Screaming,7.0,36,,,1995,0.0
72,0,"Drama, History",48750,1.479446,1995-03-22,0,175.0,Les Miserables,6.6,8,,,1995,0.0
73,0,"Drama, Romance",20927,10.412194,1996-01-26,19030691,87.0,Bed of Roses,5.1,27,,,1996,0.0
74,15000000,"Comedy, Family",36929,2.936443,1996-01-26,2042530,90.0,Big Bully,3.9,16,,,1996,0.13616866666666666
75,20000000,"Horror, Science Fiction",9102,12.758848,1995-09-08,5781885,108.0,Screamers,6.1,154,122017.0,Screamers Collection,1995,0.28909425
76,0,Documentary,124626,0.133893,1995-02-18,0,70.0,Nico Icon,7.3,3,,,1995,0.0
77,0,"Drama, Thriller",27526,5.756462,1995-11-15,0,111.0,The Crossing Guard,6.1,74,,,1995,0.0
78,44000000,"Drama, Thriller",9623,6.010579,1996-02-02,0,118.0,The Juror,5.5,91,,,1996,0.0
79,0,"Family, Drama",46785,1.196256,1995-01-01,0,85.0,The White Balloon,7.5,20,,,1995,0.0
80,8000000,"Drama, Crime",400,4.486179,1995-12-01,529766,116.0,Things to Do in Denver When You're Dead,6.7,87,,,1995,0.06622075
81,900000,"Drama, Comedy",880,2.030174,1995-09-12,0,102.0,Antonia's Line,7.2,26,,,1995,0.0
82,0,"Romance, Drama",146599,0.252287,1996-01-26,0,115.0,Once Upon a Time... When We Were Colored,4.5,2,,,1996,0.0
83,0,,188588,0.531159,1995-11-22,0,108.0,Last Summer in the Hamptons,0.0,0,,,1995,0.0
84,0,"Drama, Romance",8447,2.15166,1995-09-10,0,118.0,Angels and Insects,6.3,17,,,1995,0.0
85,38000000,"Action, Drama",10534,9.568604,1996-02-02,10300000,129.0,White Squall,6.3,86,,,1996,0.2710526315789474
86,16000000,"Adventure, Comedy, Family",17414,4.814825,1996-01-12,0,88.0,Dunston Checks In,5.1,59,,,1996,0.0
87,0,Comedy,13997,8.963037,1996-02-01,32,87.0,Black Sheep,6.0,124,,,1996,0.0
88,8169363,"Crime, Drama, Thriller",2086,6.848591,1995-11-22,8175346,90.0,Nick of Time,6.1,190,,,1995,1.000732370443081
89,0,Drama,61548,0.411424,1995-09-14,0,91.0,The Journey of August King,6.7,3,,,1995,0.0
90,47000000,"Drama, Horror, Thriller, Romance",9095,12.866139,1996-02-23,12379402,104.0,Mary Reilly,5.7,77,,,1996,0.2633915319148936
91,14000000,"Comedy, Horror, Romance",12158,9.071127,1995-10-26,19800000,100.0,Vampire in Brooklyn,4.5,113,,,1995,1.4142857142857144
92,0,"Comedy, Drama, Romance",9283,4.670562,1996-02-09,0,112.0,Beautiful Girls,6.6,103,,,1996,0.0
93,50000000,"Action, Adventure, Drama, Thriller",9208,14.957626,1996-02-09,150270147,108.0,Broken Arrow,5.7,459,,,1996,3.00540294
94,0,Comedy,40154,0.513391,1995-12-01,0,99.0,A Midwinter's Tale,7.5,6,,,1995,0.0
95,3000000,Drama,406,12.108196,1995-05-31,0,98.0,La Haine,7.9,695,,,1995,0.0
96,0,"Action, Adventure, Drama, Science Fiction, Thriller",45549,2.657647,1994-12-06,0,105.0,Shopping,5.6,13,,,1994,0.0
97,0,Documentary,63076,0.638211,1995-12-27,0,106.0,Heidi Fleiss: Hollywood Madam,6.8,4,,,1995,0.0
98,0,"Drama, Thriller",11062,4.807223,1996-02-16,0,111.0,City Hall,6.0,67,,,1996,0.0
99,7000000,"Comedy, Crime, Drama",13685,6.904831,1996-02-21,560069,91.0,Bottle Rocket,6.8,285,,,1996,0.08000985714285715
100,0,"Comedy, Romance",47475,3.329264,1996-02-16,0,96.0,Mr. Wrong,3.3,16,,,1996,0.0
101,18000000,"Drama, Mystery, Science Fiction, Thriller",2045,2.464425,1996-02-23,0,106.0,Unforgettable,5.3,22,,,1996,0.0
102,12000000,Comedy,9614,9.592265,1996-02-16,41205099,92.0,Happy Gilmore,6.5,767,,,1996,3.43375825
103,24000000,"Drama, Romance",688,5.951077,1995-05-28,182016617,135.0,The Bridges of Madison County,7.3,397,,,1995,7.584025708333333
104,0,"Drama, Comedy, Family",11907,1.015068,1994-11-07,0,104.0,Nobody Loves Me,5.1,5,,,1994,0.0
105,0,"Action, Comedy, Music, Family, Adventure",10874,6.902423,1996-02-16,34327391,100.0,Muppet Treasure Island,6.5,93,256377.0,The Muppet Collection,1996,0.0
106,0,Documentary,89333,0.976707,1995-12-08,0,95.0,Catwalk,7.0,2,,,1995,0.0
107,0,Crime,96357,0.001346,1995-05-20,0,110.0,Headless Body in Topless Bar,0.0,0,,,1995,0.0
108,72000000,"Action, Drama, History, War",197,20.755149,1995-05-24,210000000,177.0,Braveheart,7.7,3404,,,1995,2.9166666666666665
109,1300000,"Crime, Drama",103,14.092713,1976-02-07,28262574,114.0,Taxi Driver,8.1,2632,,,1976,21.74044153846154
110,7500000,"Crime, Action, Comedy, Thriller",33542,12.314278,1995-01-30,32392047,91.0,Rumble in the Bronx,6.5,245,,,1995,4.3189396
111,35000000,"Drama, Thriller",43566,2.938293,1996-02-23,0,108.0,Before and After,5.8,37,,,1996,0.0
112,0,Drama,71754,0.372697,1995-09-13,0,114.0,Margaret's Museum,7.5,2,,,1995,0.0
113,13365000,Comedy,43612,1.254885,1995-01-31,0,106.0,Happiness Is in the Field,7.0,23,,,1995,0.0
114,0,"Documentary, Drama, Foreign",51352,0.243986,1995-06-08,1,117.0,Anne Frank Remembered,7.3,4,,,1995,0.0
115,0,"Comedy, Crime, Drama",16934,6.178497,1995-01-20,0,99.0,The Young Poisoner's Handbook,6.9,19,,,1995,0.0
116,0,"Comedy, Romance",10324,2.891918,1996-03-08,0,92.0,If Lucy Fell,5.4,11,,,1996,0.0
117,25000000,"Comedy, Drama",78406,1.522412,1995-09-29,6278139,113.0,Steal Big Steal Little,5.1,7,,,1995,0.25112556
118,0,"Action, Adventure, Comedy, Drama, Family",55731,1.317878,1996-03-22,0,100.0,Race the Sun,5.2,21,,,1996,0.0
119,0,Drama,32119,0.86539,1992-12-06,0,90.0,The Boys of St. Vincent,7.0,7,,,1992,0.0
120,40000000,"Comedy, Romance",11066,6.506983,1992-06-30,70100000,117.0,Boomerang,5.4,139,,,1992,1.7525
121,0,"Drama, Comedy, Romance",11104,6.778979,1994-07-14,0,102.0,Chungking Express,7.9,249,,,1994,0.0
122,0,"Drama, Romance",37975,1.702639,1995-09-21,0,113.0,The Star Maker,6.8,29,,,1995,0.0
123,7000000,"Comedy, Romance",2074,5.579088,1996-03-22,14702438,92.0,Flirting with Disaster,6.3,66,,,1996,2.100348285714286
124,17000000,Fantasy,27793,6.252377,1994-10-26,0,95.0,The Neverending Story III: Escape from Fantasia,4.4,105,91430.0,The Neverending Story Collection,1994,0.0
125,0,Drama,44284,0.406754,1994-09-30,0,116.0,The Silences of the Palace,4.3,3,,,1994,0.0
126,0,,290157,0.001178,1995-01-01,0,87.0,Jupiter's Wife,0.0,0,,,1995,0.0
127,0,"Comedy, Romance",110972,0.699066,1996-02-09,0,95.0,Pie in the Sky,7.0,2,,,1996,0.0
128,0,"Comedy, Drama",32622,2.197439,1995-01-01,0,99.0,Angela,5.6,9,,,1995,0.0
129,0,"Drama, Romance, War",73067,0.637554,1995-11-22,0,101.0,Frankie Starlight,5.4,4,,,1995,0.0
130,50000000,"Action, Thriller, Mystery, Romance",11863,11.418917,1995-10-13,9851610,95.0,Jade,5.1,45,,,1995,0.1970322
131,0,"Comedy, Drama, Romance",55475,0.291021,1995-08-16,0,102.0,Nueba Yol,5.5,1,,,1995,0.0
132,0,"Music, Documentary",124636,0.001838,1995-08-01,0,87.0,Sonic Outlaws,0.0,0,,,1995,0.0
133,0,Comedy,9101,5.184977,1996-03-01,0,92.0,Down Periscope,5.6,110,,,1996,0.0
134,0,Documentary,123360,0.276401,1995-09-08,0,97.0,From the Journals of Jean Seberg,6.5,2,,,1995,0.0
135,0,Comedy,5757,0.540436,1995-09-15,209935,86.0,Man of the Year,3.8,2,,,1995,0.0
136,0,Drama,39428,0.370342,1995-08-23,0,91.0,The Neon Bible,7.2,5,,,1995,0.0
137,0,,124639,0.001205,1995-08-01,0,122.0,Target,0.0,0,,,1995,0.0
138,60000000,"Drama, Romance",9302,3.402749,1996-03-01,0,119.0,Up Close & Personal,5.9,51,,,1996,0.0
139,31000000,Comedy,11000,6.49968,1996-03-08,185260553,117.0,The Birdcage,6.7,303,,,1996,5.976146870967742
140,0,Drama,249882,0.918504,1995-10-12,0,125.0,Virgin Mary,7.0,2,,,1995,0.0
141,0,"Comedy, Drama, Romance",16388,2.039196,1995-08-09,0,98.0,The Brothers McMullen,6.3,23,,,1995,0.0
142,19000000,"Action, Comedy, Crime, Thriller",9737,9.262184,1995-04-07,141407024,118.0,Bad Boys,6.5,1729,14890.0,Bad Boys Collection,1995,7.442474947368421
143,0,"Action, Adventure, Drama, Family",30765,2.375865,1995-08-25,0,81.0,The Amazing Panda Adventure,5.0,31,,,1995,0.0
144,0,"Drama, Crime",10474,7.415144,1995-04-21,0,102.0,The Basketball Diaries,7.2,472,,,1995,0.0
145,4000000,"Romance, Drama, Comedy",22279,0.922958,1995-07-21,851545,113.0,An Awfully Big Adventure,6.0,11,,,1995,0.21288625
146,0,"Crime, Comedy, Drama, Thriller",30157,1.759012,1994-08-05,0,105.0,Amateur,6.5,21,,,1994,0.0
147,52000000,Drama,568,18.761467,1995-06-30,355237933,140.0,Apollo 13,7.3,1637,,,1995,6.831498711538462
148,28000000,Adventure,11780,10.193549,1995-04-13,31596911,139.0,Rob Roy,6.5,151,,,1995,1.1284611071428572
149,0,"Drama, Horror",34996,3.137285,1995-01-10,0,82.0,The Addiction,6.4,46,,,1995,0.0
150,100000000,"Action, Crime, Fantasy",414,13.321354,1995-06-16,336529144,121.0,Batman Forever,5.2,1529,120794.0,Batman Collection,1995,3.36529144
151,0,"Drama, Romance",649,10.142662,1967-05-24,0,101.0,Belle de Jour,7.3,163,,,1967,0.0
152,0,"Drama, Thriller",1873,2.04189,1995-05-24,0,100.0,Beyond Rangoon,6.4,21,,,1995,0.0
153,2000000,Comedy,5894,11.528147,1995-09-15,1275000,83.0,Blue in the Face,6.8,28,439053.0,Brooklyn Cigar Store Collection,1995,0.6375
154,11000000,"Action, Comedy",1775,5.391556,1995-06-08,178104,91.0,Canadian Bacon,5.9,57,,,1995,0.016191272727272728
155,50000000,"Fantasy, Comedy, Family",8839,12.812539,1995-05-26,287928194,100.0,Casper,6.0,1045,8819.0,Casper Collection,1995,5.75856388
156,25000000,"Mystery, Crime, Drama",20649,4.558992,1995-09-15,13071518,128.0,Clockers,6.8,69,,,1995,0.52286072
157,50000000,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",10329,7.260574,1995-06-09,152022101,109.0,Congo,5.0,214,,,1995,3.04044202
158,53000000,"Action, Thriller, Drama",8963,8.657365,1995-05-12,157387195,116.0,Crimson Tide,7.0,508,,,1995,2.969569716981132
159,0,Documentary,26564,3.620388,1994-09-10,3174695,119.0,Crumb,7.6,71,,,1994,0.0
160,7000000,"Thriller, Action, Crime",8068,6.950458,1995-08-25,25405445,104.0,Desperado,6.8,898,9649.0,Mexico Trilogy,1995,3.6293492857142855
161,27000000,"Drama, Mystery, Thriller",8512,4.646132,1995-09-15,16140822,102.0,Devil in a Blue Dress,6.3,88,,,1995,0.5978082222222222
162,90000000,"Action, Thriller",1572,15.138855,1995-05-19,366101666,128.0,Die Hard: With a Vengeance,6.9,2094,1570.0,Die Hard Collection,1995,4.067796288888889
163,0,"Action, Comedy, Crime, Drama",13552,7.120806,1995-10-27,0,80.0,The Doom Generation,5.6,57,259398.0,Teenage Apocalypse Trilogy,1995,0.0
164,0,"Drama, Crime",259209,0.523575,1995-10-12,0,116.0,Feast of July,0.0,0,,,1995,0.0
165,55000000,"Action, Adventure, Drama, Romance",6520,15.178338,1995-07-07,127600435,134.0,First Knight,5.9,319,,,1995,2.320007909090909
166,0,Adventure,9073,7.575098,1995-07-19,0,95.0,Free Willy 2 - The Adventure Home,5.5,130,9328.0,Free Willy Collection,1995,0.0
167,20000000,"Action, Crime, Thriller, Drama",10428,14.810519,1995-09-14,7563728,107.0,Hackers,6.2,406,,,1995,0.3781864
168,0,"Comedy, Drama, Romance",17447,3.196456,1995-08-18,0,92.0,Jeffrey,6.5,19,,,1995,0.0
169,25000000,"Adventure, Action, Drama, Science Fiction, Thriller",9886,11.715868,1995-05-26,19075720,97.0,Johnny Mnemonic,5.5,380,,,1995,0.7630288
170,90000000,Science Fiction,9482,8.184815,1995-06-30,113493481,96.0,Judge Dredd,5.4,643,,,1995,1.2610386777777778
171,0,"Comedy, Drama",19326,3.676921,1995-04-12,17014653,88.0,Jury Duty,4.0,34,,,1995,0.0
172,1500000,"Drama, Crime",9344,4.877872,1995-07-28,7412216,91.0,Kids,6.8,280,,,1995,4.941477333333333
173,500000,"Drama, Comedy",9071,10.058329,1995-01-20,1148752,89.0,Living in Oblivion,7.2,64,,,1995,2.297504
174,0,"Mystery, Horror, Thriller",8973,4.102409,1995-08-25,0,119.0,Lord of Illusions,5.9,87,,,1995,0.0
175,0,"Comedy, Drama",15730,0.354014,1993-05-20,0,100.0,Love & Human Remains,7.0,7,,,1993,0.0
176,0,"Drama, Family, Romance",47608,2.624771,1995-05-26,15453274,95.0,Mad Love,5.5,27,,,1995,0.0
177,6000000,"Romance, Comedy",2293,8.25547,1995-10-20,2122561,94.0,Mallrats,6.8,400,,,1995,0.35376016666666665
178,15000000,"Action, Adventure, Science Fiction, Family, Fantasy",9070,7.024227,1995-06-30,66000000,92.0,Mighty Morphin Power Rangers: The Movie,5.2,153,286162.0,Power Rangers Collection,1995,4.4
179,0,"Comedy, Drama, Romance",68274,1.01115,1995-09-29,0,100.0,Moonlight and Valentino,5.6,10,,,1995,0.0
180,2,"Thriller, Foreign",48787,2.466066,1995-09-28,1,95.0,Mute Witness,6.4,36,,,1995,0.5
181,0,"Horror, Thriller",34574,7.720056,1994-09-13,0,93.0,Nadja,5.9,12,,,1994,0.0
182,22000000,"Crime, Drama, Mystery, Thriller, Action",1642,13.304342,1995-07-28,110627965,114.0,The Net,5.6,359,328073.0,Síť (kolekce),1995,5.028543863636363
183,0,Comedy,11472,8.482834,1995-07-12,69660733,103.0,Nine Months,5.5,171,,,1995,0.0
184,150000,Comedy,36196,1.165039,1995-06-09,472370,94.0,Party Girl,5.8,14,,,1995,3.1491333333333333
185,8,"Fantasy, Horror, Thriller",11980,10.187623,1995-09-01,16,98.0,The Prophecy,6.4,139,9068.0,The Prophecy Collection,1995,2.0
186,0,"Fantasy, Comedy, Drama",58372,0.119713,1995-11-17,0,91.0,Reckless,10.0,1,,,1995,0.0
187,0,Drama,32646,8.180047,1995-06-23,0,119.0,Safe,7.2,62,,,1995,0.0
188,50000000,"Drama, History, Romance",10533,6.752119,1995-10-13,10382407,135.0,The Scarlet Letter,5.5,111,,,1995,0.20764814
189,0,Documentary,56088,0.159596,1995-08-25,0,93.0,The Show,5.3,2,,,1995,0.0
190,45000000,Drama,10802,17.502375,1995-09-22,20350754,128.0,Showgirls,4.9,261,247294.0,Showgirls Collection,1995,0.4522389777777778
191,7000000,"Comedy, Drama",10149,5.552946,1995-06-09,8349430,112.0,Smoke,7.2,115,439053.0,Brooklyn Cigar Store Collection,1995,1.1927757142857143
192,0,Comedy,18402,3.743212,1995-08-04,50892160,106.0,Something to Talk About,5.7,60,,,1995,0.0
193,35000000,"Science Fiction, Horror, Action",9348,13.492845,1995-07-07,113374103,108.0,Species,5.5,457,9887.0,Species Collection,1995,3.2392600857142857
194,0,Drama,139408,0.913522,1995-09-15,0,109.0,The Stars Fell on Henrietta,6.6,6,,,1995,0.0
195,42000000,"Crime, Drama, Science Fiction, Thriller",281,11.223055,1995-10-13,7959291,145.0,Strange Days,6.8,334,,,1995,0.18950692857142856
196,0,"Drama, Romance",5967,8.133881,1964-02-19,0,91.0,The Umbrellas of Cherbourg,7.6,119,,,1964,0.0
197,14000000,Thriller,79593,1.820419,1995-09-08,5780000,99.0,The Tie That Binds,4.6,9,,,1995,0.41285714285714287
198,0,"Drama, Fantasy",47939,11.002046,1995-10-27,7025496,115.0,Three Wishes,6.1,18,,,1995,0.0
199,0,"Drama, Romance",36834,4.546552,1995-11-02,339889,111.0,Total Eclipse,6.5,112,,,1995,0.0
200,0,Comedy,9090,7.653446,1995-09-07,47774193,105.0,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117,,,1995,0.0
201,60000000,"Action, Thriller",3512,7.490247,1995-07-13,104324083,100.0,Under Siege 2: Dark Territory,5.6,217,112399.0,Under Siege Collection,1995,1.7387347166666667
202,0,"Comedy, Drama, Family",52856,2.881689,1995-09-15,0,93.0,Unstrung Heroes,6.4,9,,,1995,0.0
203,0,Documentary,77350,0.786023,1995-08-11,0,73.0,Unzipped,6.0,6,,,1995,0.0
204,20000000,"Drama, Romance",9560,9.715639,1995-08-11,50012507,103.0,A Walk in the Clouds,6.5,168,,,1995,2.50062535
205,175000000,"Adventure, Action",9804,16.885184,1995-07-28,264218220,135.0,Waterworld,5.9,1017,,,1995,1.5098184
206,8000000,Drama,31611,1.834099,1995-12-01,0,89.0,White Man's Burden,5.1,25,,,1995,0.0
207,30000000,"Action, Western",65796,8.922139,1995-12-01,0,98.0,Wild Bill,5.9,27,,,1995,0.0
208,0,Drama,49805,3.727644,1994-10-12,0,97.0,The Browning Version,6.0,11,,,1994,0.0
209,0,"Adventure, Action, Comedy, Crime, Family",26258,3.287036,1995-08-04,0,90.0,Bushwhacked,4.9,29,,,1995,0.0
210,2800000,Drama,50797,2.486073,1994-05-01,2616503,135.0,Burnt by the Sun,6.7,35,23170.0,Burnt by the Sun Trilogy,1994,0.9344653571428572
211,0,"Drama, War",19155,3.525649,1994-06-09,763847,113.0,Before the Rain,7.7,45,,,1994,0.0
212,2500000,"Drama, Romance",76,11.304979,1995-01-27,5535405,105.0,Before Sunrise,7.7,984,123800.0,Before... Collection,1995,2.214162
213,10000000,Comedy,11017,6.638116,1995-02-10,26488734,89.0,Billy Madison,6.2,464,,,1995,2.6488734
214,0,"Drama, Thriller",37141,2.761837,1995-10-17,0,90.0,The Babysitter,4.7,27,,,1995,0.0
